Дата	Квест	Концовка	Длительность_мин	Игрок
24.04.2026	Лесной лабиринт	good	18	Аноним
24.04.2026	Пещера дракона	good	13	Аноним
24.04.2026	Космический рейс	good	27	Аноним
24.04.2026	Тайная комната	good	41	Аноним
25.04.2026	Лесной лабиринт	good	14	alex2023
25.04.2026	Пещера дракона	bad	9	Аноним
25.04.2026	Космический рейс	bad	18	Аноним
25.04.2026	Замок вампира	good	35	maria99
25.04.2026	Лесной лабиринт	bad	22	Аноним
25.04.2026	Пещера дракона	good	15	Аноним
25.04.2026	Космический рейс	good	23	Аноним
25.04.2026	Замок вампира	bad	29	ivan123
25.04.2026	Лесной лабиринт	good	16	Аноним
25.04.2026	Тайная комната	bad	37	ekaterina
26.04.2026	Космический рейс	good	26	olga456
26.04.2026	Замок вампира	good	33	Аноним
26.04.2026	Лесной лабиринт	bad	20	Аноним
26.04.2026	Пещера дракона	bad	8	Аноним
26.04.2026	Космический рейс	bad	16	Аноним
26.04.2026	Замок вампира	bad	28	alex2023
26.04.2026	Лесной лабиринт	good	17	Аноним
26.04.2026	Пещера дракона	good	14	Аноним
26.04.2026	Космический рейс	good	25	maria99
26.04.2026	Замок вампира	good	34	Аноним
27.04.2026	Лесной лабиринт	good	15	Аноним
27.04.2026	Пещера дракона	bad	11	Аноним
27.04.2026	Космический рейс	good	22	ivan123
27.04.2026	Замок вампира	bad	30	Аноним
27.04.2026	Лесной лабиринт	bad	18	Аноним
27.04.2026	Пещера дракона	good	13	Аноним
27.04.2026	Космический рейс	bad	17	olga456
27.04.2026	Замок вампира	good	35	Аноним
27.04.2026	Лесной лабиринт	good	19	Аноним
27.04.2026	Тайная комната	good	45	dmitry
28.04.2026	Космический рейс	good	27	Аноним
28.04.2026	Замок вампира	good	32	alex2023
28.04.2026	Лесной лабиринт	bad	21	Аноним
28.04.2026	Пещера дракона	bad	9	Аноним
28.04.2026	Космический рейс	bad	18	Аноним
28.04.2026	Замок вампира	bad	29	maria99
28.04.2026	Лесной лабиринт	good	14	Аноним
28.04.2026	Пещера дракона	good	12	Аноним
28.04.2026	Космический рейс	good	24	ivan123
28.04.2026	Замок вампира	good	33	Аноним
29.04.2026	Лесной лабиринт	good	16	Аноним
29.04.2026	Пещера дракона	bad	10	Аноним
29.04.2026	Космический рейс	bad	19	olga456
29.04.2026	Замок вампира	good	31	Аноним
29.04.2026	Лесной лабиринт	bad	20	Аноним
29.04.2026	Пещера дракона	good	14	Аноним
29.04.2026	Космический рейс	good	26	alex2023
29.04.2026	Замок вампира	bad	28	Аноним
29.04.2026	Лесной лабиринт	good	18	Аноним
29.04.2026	Тайная комната	bad	39	Аноним
30.04.2026	Космический рейс	good	23	Аноним
30.04.2026	Замок вампира	good	35	Аноним
30.04.2026	Лесной лабиринт	bad	19	Аноним
30.04.2026	Пещера дракона	bad	7	ivan123
30.04.2026	Космический рейс	bad	17	Аноним
30.04.2026	Замок вампира	good	34	Аноним
30.04.2026	Лесной лабиринт	good	15	Аноним
30.04.2026	Пещера дракона	good	11	olga456
30.04.2026	Космический рейс	good	25	Аноним
30.04.2026	Тайная комната	good	44	sergey
